Topic Id,Top Words...
0,1 4 ii 11 9 7 8 0 5 10 25 50 lie 00 12 ml men il days la
1,1 made years 4 st water man ottawa german hand dr _ long line place make give ll week 7
2,team id thirteen lucian xx hundred account february jan feby ferrier hockey feb seeds timothy village hy fenella fire wt
3,nbsp td tr html href topics 83471_1915 txt docs 0 br 2 head 1 doc ailsa shawville 11 3 8
4,jack christmas winter thc list january vicar tobacco london service dog uncle nov dec answers law victrola 400 expenditure lemon
5,country days sir fire thirty child kind soldiers letter won tion dear royal hospital mr great roll montreal pre machine
6,march seed april kidney feet paint spring hhe feed color id hie peterborough dodd heart pacific gin tons ehe bv
7,1 war 2 mr 000 time 00 good 3 day year men shawville canada mrs home half canadian british ed
8,dunraven august ailsa july muriel esq ontario fire russian ogden lloyd exhibits shoes 12 reasonable roofing pattern grounds model dairy
9,0 83471_1915 txt 20 1918 file equity_1915 equity_dataset_1914 20project 20final hist3814o 20drive google kayleighgagne users 5 4 1 2 3
